,job,money,skill,ink,area,jobDes,inkDes
261,iOS开发实习生-技术中台,6k-12k,后端开发,字节跳动,[深圳·南山区],"“下午茶,健身瑜伽,团队氛围好,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
262,iOS开发实习生（可转正） — 视频会议,6k-12k,后端开发,字节跳动,[上海·闵行区],"“下午茶,六险一金,团队氛围好,免费三餐”","内容资讯,短视频 / D轮及以上 / 2000人以上"
263,Android开发实习生 — 今日头条,8k-10k,后端开发,字节跳动,[广州·海珠区],"“免费三餐,租房补贴,用户过亿,大牛带队”","内容资讯,短视频 / D轮及以上 / 2000人以上"
264,软件开发实习生-Pico,6k-8k,后端开发,字节跳动,[青岛·崂山区],"“下午茶,健身瑜伽,团队氛围好,扁平管理”","内容资讯,短视频 / D轮及以上 / 2000人以上"
265,前端开发工程师,10k-16k,软件服务｜咨询 Vue React,,[北京·西北旺],“朝九晚六周末双休”,企业服务 / 上市公司 / 2000人以上
266,java开发工程师,10k-20k,数据服务｜咨询 IT技术服务｜咨询,,[成都·双流县],“华为大厂”,企业服务 / 上市公司 / 2000人以上
267,web前端开发专家,40k-80k,电商平台 分类信息 JAVA,,[深圳·七里庄],“世界500强企业”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 500-2000人"
268,web前端开发专家,20k-40k,电商平台 分类信息 JAVA,,[深圳·建设路],“世界500强企业”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 500-2000人"
269,前端开发工程师,60k-100k,生活服务 Web前端开发,,[深圳·大冲],“央企 世界五百强”,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 500-2000人"
270,移动端leader,40k-60k,IT技术服务｜咨询 Android,,[上海·五角场],“薪资福利待遇open”,"专业服务｜咨询,IT技术服务｜咨询 / 未融资 / 500-2000人"
271,客户端leader,55k-85k,IT技术服务｜咨询 JAVA C++ GO 移动客户端开发,,[北京·海淀区],“互联网头部大厂”,"专业服务｜咨询,IT技术服务｜咨询 / 未融资 / 500-2000人"
